% PlotTitle: "Multiantenna Matching"
% X axis: "Frequency [GHz]"
% Y axis: "Efficiency and S parameters [dB]"
"Frequency [GHz]"	"S11"	"Efficiency 1"
1,28	-0,532798	-10,431
1,284	-0,516001	-10,534
1,288	-0,501434	-10,6258
1,292	-0,488625	-10,7085
1,296	-0,47731	-10,7839
1,3	-0,467283	-10,8536
1,304	-0,458244	-10,9192
1,308	-0,449932	-10,9821
1,312	-0,442216	-11,043
1,316	-0,435012	-11,1023
1,32	-0,428329	-11,1602
1,324	-0,422133	-11,2163
1,328	-0,416389	-11,2704
1,332	-0,411134	-11,3217
1,336	-0,406435	-11,3692
1,34	-0,402403	-11,4118
1,344	-0,399072	-11,4482
1,348	-0,396624	-11,4772
1,352	-0,395019	-11,4977
1,356	-0,394369	-11,5083
1,36	-0,394717	-11,5083
1,364	-0,396088	-11,4971
1,368	-0,39853	-11,474
1,372	-0,402074	-11,4389
1,376	-0,406762	-11,3922
1,38	-0,412544	-11,3343
1,384	-0,419378	-11,2661
1,388	-0,427234	-11,1886
1,392	-0,436101	-11,1029
1,396	-0,445997	-11,0102
1,4	-0,456812	-10,9119
1,404	-0,468411	-10,8092
1,408	-0,480734	-10,7035
1,412	-0,493801	-10,5953
1,416	-0,507528	-10,4853
1,42	-0,521903	-10,3741
1,424	-0,536928	-10,2621
1,428	-0,552641	-10,1495
1,432	-0,569173	-10,0357
1,436	-0,586597	-9,9201
1,44	-0,605062	-9,80193
1,444	-0,624798	-9,68032
1,448	-0,646155	-9,55535
1,452	-0,669297	-9,4248
1,456	-0,694509	-9,28747
1,46	-0,722149	-9,14216
1,464	-0,752617	-8,98771
1,468	-0,786357	-8,82408
1,472	-0,823849	-8,64987
1,476	-0,865607	-8,46421
1,48	-0,912201	-8,26668
1,484	-0,964233	-8,05723
1,488	-1,0224	-7,83674
1,492	-1,08734	-7,60572
1,496	-1,16015	-7,36437
1,5	-1,24154	-7,11335
1,504	-1,33239	-6,85355
1,508	-1,43386	-6,58652
1,512	-1,54695	-6,31421
1,516	-1,67322	-6,03644
1,52	-1,81434	-5,75428
1,524	-1,97231	-5,46863
1,528	-2,14963	-5,18064
1,532	-2,34848	-4,89316
1,536	-2,57254	-4,6052
1,54	-2,82572	-4,31779
1,544	-3,11301	-4,03229
1,548	-3,44041	-3,7508
1,552	-3,81236	-3,47635
1,556	-4,23564	-3,21011
1,56	-4,71678	-2,9545
1,564	-5,26066	-2,71314
1,568	-5,86897	-2,49048
1,572	-6,53394	-2,29239
1,576	-7,23401	-2,12384
1,58	-7,92456	-1,98891
1,584	-8,52738	-1,89242
1,588	-8,93728	-1,83847
1,592	-9,05695	-1,83016
1,596	-8,85787	-1,86958
1,6	-8,38659	-1,95403
1,604	-7,74502	-2,08098
1,608	-7,03443	-2,2468
1,612	-6,32671	-2,44716
1,616	-5,66644	-2,6766
1,62	-5,06549	-2,92985
1,624	-4,52885	-3,20216
1,628	-4,0545	-3,48935
1,632	-3,6378	-3,78793
1,636	-3,27447	-4,09401
1,64	-2,95606	-4,40529
1,644	-2,67657	-4,72
1,648	-2,43084	-5,03647
1,652	-2,21383	-5,35313
1,656	-2,02265	-5,66833
1,66	-1,85362	-5,98085
1,664	-1,70307	-6,29031
1,668	-1,5687	-6,59577
1,672	-1,44852	-6,89649
1,676	-1,34129	-7,19149
1,68	-1,24582	-7,47945
1,684	-1,15996	-7,76048
1,688	-1,08263	-8,03403
1,692	-1,01289	-8,29959
1,696	-0,950353	-8,55682
1,7	-0,894521	-8,80457
1,704	-0,843893	-9,04357
1,708	-0,797888	-9,27382
1,712	-0,755988	-9,49553
1,716	-0,717735	-9,70891
1,72	-0,683145	-9,91366
1,724	-0,65154	-10,1107
1,728	-0,622434	-10,3006
1,732	-0,595545	-10,484
1,736	-0,57063	-10,6612
1,74	-0,547646	-10,8325
1,744	-0,526598	-10,9982
1,748	-0,507029	-11,1591
1,752	-0,488684	-11,3157
1,756	-0,471458	-11,4681
1,76	-0,455321	-11,6163
1,764	-0,440314	-11,76
1,768	-0,426241	-11,9
1,772	-0,412964	-12,0361
1,776	-0,400432	-12,1683
1,78	-0,388608	-12,2964
1,784	-0,377655	-12,4195
1,788	-0,367343	-12,5382
1,792	-0,357709	-12,6524
1,796	-0,348766	-12,7617
1,8	-0,340362	-12,8661
1,804	-0,332587	-12,965
1,808	-0,325336	-13,0586
1,812	-0,318556	-13,1469
1,816	-0,312265	-13,2301
1,82	-0,306377	-13,3081
1,824	-0,300941	-13,3807
1,828	-0,295925	-13,448
1,832	-0,291239	-13,5104
1,836	-0,286882	-13,5681
1,84	-0,282863	-13,6213
1,844	-0,279214	-13,6701
1,848	-0,275925	-13,7143
1,852	-0,272861	-13,7546
1,856	-0,27001	-13,7911
1,86	-0,267365	-13,8239
1,864	-0,26496	-13,8533
1,868	-0,262826	-13,8788
1,872	-0,260859	-13,901
1,876	-0,25905	-13,92
1,88	-0,257397	-13,9358
1,884	-0,255897	-13,9483
1,888	-0,254666	-13,9573
1,892	-0,253635	-13,9628
1,896	-0,252822	-13,9649
1,9	-0,25217	-13,9634
1,904	-0,251678	-13,9583
1,908	-0,251389	-13,9491
1,912	-0,251345	-13,9358
1,916	-0,251503	-13,9185
1,92	-0,25185	-13,8968
1,924	-0,252393	-13,8709
1,928	-0,253155	-13,8403
1,932	-0,254174	-13,805
1,936	-0,255424	-13,7651
1,94	-0,256939	-13,7206
1,944	-0,258753	-13,6715
1,948	-0,260818	-13,6179
1,952	-0,263177	-13,5595
1,956	-0,265787	-13,4965
1,96	-0,268649	-13,4293
1,964	-0,27182	-13,3578
1,968	-0,275273	-13,282
1,972	-0,27904	-13,2019
1,976	-0,283112	-13,1176
1,98	-0,287488	-13,0292
1,984	-0,292187	-12,9368
1,988	-0,297245	-12,8401
1,992	-0,30276	-12,7392
1,996	-0,30874	-12,6339
2	-0,315146	-12,5241
2,004	-0,322013	-12,4097
2,008	-0,329383	-12,2906
2,012	-0,33731	-12,1665
2,016	-0,345897	-12,0371
2,02	-0,355157	-11,9024
2,024	-0,365125	-11,7622
2,028	-0,375868	-11,6165
2,032	-0,387454	-11,4651
2,036	-0,399987	-11,3078
2,04	-0,413516	-11,1446
2,044	-0,428259	-10,9759
2,048	-0,444188	-10,8013
2,052	-0,461393	-10,6209
2,056	-0,480012	-10,4347
2,06	-0,500153	-10,2426
2,064	-0,521945	-10,0449
2,068	-0,545558	-9,8414
2,072	-0,571209	-9,63222
2,076	-0,599068	-9,41719
2,08	-0,629363	-9,19626
2,084	-0,662349	-8,96941
2,088	-0,698327	-8,73653
2,092	-0,737698	-8,49764
2,096	-0,780887	-8,25259
2,1	-0,828351	-8,00114
2,104	-0,880545	-7,74324
2,108	-0,938068	-7,47886
2,112	-1,0016	-7,208
2,116	-1,0719	-6,9308
2,12	-1,14987	-6,64738
2,124	-1,23645	-6,35818
2,128	-1,33277	-6,06372
2,132	-1,43995	-5,76462
2,136	-1,55928	-5,46174
2,14	-1,69217	-5,15618
2,144	-1,84007	-4,84969
2,148	-2,00436	-4,54347
2,152	-2,18639	-4,23939
2,156	-2,38736	-3,93968
2,16	-2,60792	-3,64678
2,164	-2,84812	-3,36349
2,168	-3,10689	-3,09288
2,172	-3,38165	-2,83827
2,176	-3,66767	-2,60313
2,18	-3,95757	-2,39097
2,184	-4,24103	-2,20524
2,188	-4,50456	-2,04898
2,192	-4,73237	-1,92514
2,196	-4,90873	-1,83545
2,2	-5,0203	-1,78076
2,204	-5,05912	-1,76113
2,208	-5,02394	-1,77575
2,212	-4,92098	-1,82291
2,216	-4,76194	-1,90009
2,22	-4,56143	-2,00423
2,224	-4,33454	-2,13182
2,228	-4,09426	-2,2793
2,232	-3,85106	-2,44309
2,236	-3,61268	-2,61976
2,24	-3,38427	-2,80622
2,244	-3,16913	-2,99968
2,248	-2,96896	-3,19728
2,252	-2,78423	-3,39688
2,256	-2,61481	-3,59656
2,26	-2,46013	-3,79469
2,264	-2,31941	-3,98984
2,268	-2,19178	-4,18078
2,272	-2,07615	-4,36663
2,276	-1,97153	-4,54655
2,28	-1,87696	-4,71982
2,284	-1,79158	-4,88587
2,288	-1,71471	-5,04407
2,292	-1,64545	-5,19433
2,296	-1,5831	-5,33633
2,3	-1,52704	-5,46991
2,304	-1,47669	-5,59506
2,308	-1,43156	-5,71172
2,312	-1,39106	-5,82017
2,316	-1,3547	-5,92076
2,32	-1,32201	-6,01389
2,324	-1,29257	-6,1001
2,328	-1,26599	-6,17991
2,332	-1,24191	-6,25407
2,336	-1,21988	-6,32342
2,34	-1,19951	-6,38883
2,344	-1,18047	-6,45125
2,348	-1,16241	-6,51155
2,352	-1,14505	-6,57064
2,356	-1,12802	-6,62964
2,36	-1,11103	-6,68957
2,364	-1,09384	-6,75144
2,368	-1,07619	-6,81621
2,372	-1,05795	-6,88464
2,376	-1,03886	-6,95775
2,38	-1,0188	-7,0363
2,384	-0,997676	-7,12099
2,388	-0,975458	-7,21238
2,392	-0,952191	-7,31089
2,396	-0,927918	-7,41689
2,4	-0,902674	-7,53059
2,404	-0,876578	-7,65205
2,408	-0,849779	-7,7812
2,412	-0,822467	-7,91781
2,416	-0,794822	-8,06156
2,42	-0,767	-8,21216
2,424	-0,739184	-8,36912
2,428	-0,711576	-8,53197
2,432	-0,684317	-8,70005
2,436	-0,657573	-8,8727
2,44	-0,631433	-9,04943
2,444	-0,606007	-9,22959
2,448	-0,58138	-9,41254
2,452	-0,55762	-9,59765
2,456	-0,534821	-9,78416
2,46	-0,513017	-9,97158
2,464	-0,492203	-10,1593
2,468	-0,472395	-10,3466
2,472	-0,4536	-10,5328
2,476	-0,435844	-10,7174
2,48	-0,4191	-10,8996
2,484	-0,403343	-11,079
2,488	-0,388555	-11,2549
2,492	-0,374737	-11,4268
2,496	-0,361847	-11,5942
2,5	-0,349837	-11,7568
2,504	-0,338651	-11,9142
2,508	-0,328241	-12,0663
2,512	-0,318555	-12,213
2,516	-0,309546	-12,3544
2,52	-0,301169	-12,4904
2,524	-0,293368	-12,6215
2,528	-0,286085	-12,748
2,532	-0,27925	-12,8704
2,536	-0,272808	-12,989
2,54	-0,266736	-13,1042
2,544	-0,260965	-13,2167
2,548	-0,25546	-13,3268
2,552	-0,250186	-13,4351
2,556	-0,245124	-13,5416
2,56	-0,240298	-13,6467
2,564	-0,235653	-13,7505
2,568	-0,231175	-13,8529
2,572	-0,226865	-13,9538
2,576	-0,222725	-14,053
2,58	-0,218768	-14,15
2,584	-0,215004	-14,2446
2,588	-0,21143	-14,3363
2,592	-0,208079	-14,4247
2,596	-0,204949	-14,5092
2,6	-0,202033	-14,5896
2,604	-0,19934	-14,6654
2,608	-0,196855	-14,7365
2,612	-0,194571	-14,8028
2,616	-0,192479	-14,8644
2,62	-0,190564	-14,9214
2,624	-0,188824	-14,9741
2,628	-0,187264	-15,0231
2,632	-0,185824	-15,0687
2,636	-0,184482	-15,1117
2,64	-0,183216	-15,1525
2,644	-0,182014	-15,1917
2,648	-0,180854	-15,2299
2,652	-0,179714	-15,2676
2,656	-0,178582	-15,3052
2,66	-0,17746	-15,3429
2,664	-0,176371	-15,3809
2,668	-0,175285	-15,4192
2,672	-0,174198	-15,4576
2,676	-0,173118	-15,4961
2,68	-0,172054	-15,5341
2,684	-0,171022	-15,5712
2,688	-0,170043	-15,607
2,692	-0,16912	-15,6408
2,696	-0,168283	-15,6722
2,7	-0,167556	-15,7007
2,704	-0,166923	-15,7259
2,708	-0,166402	-15,7472
2,712	-0,165987	-15,7646
2,716	-0,165679	-15,7779
2,72	-0,165476	-15,7873
2,724	-0,165372	-15,7928
2,728	-0,165368	-15,7947
2,732	-0,165463	-15,7934
2,736	-0,165654	-15,7895
2,74	-0,165901	-15,7833
2,744	-0,16619	-15,7754
2,748	-0,166512	-15,7662
2,752	-0,166855	-15,7562
2,756	-0,167206	-15,7458
2,76	-0,167556	-15,7353
2,764	-0,167899	-15,7248
2,768	-0,168249	-15,7144
2,772	-0,168632	-15,704
2,776	-0,169013	-15,6937
2,78	-0,169397	-15,683
2,784	-0,169794	-15,6717
2,788	-0,170215	-15,6594
2,792	-0,17068	-15,6458
2,796	-0,171192	-15,6303
2,8	-0,171764	-15,6126
2,804	-0,172408	-15,5924
2,808	-0,173178	-15,5693
2,812	-0,174043	-15,5431
2,816	-0,175006	-15,5135
2,82	-0,176069	-15,4806
2,824	-0,177234	-15,4443
2,828	-0,178499	-15,4048
2,832	-0,179868	-15,3621
2,836	-0,181336	-15,3166
2,84	-0,182895	-15,2686
2,844	-0,184572	-15,2183
2,848	-0,186341	-15,166
2,852	-0,188186	-15,1118
2,856	-0,190104	-15,0561
2,86	-0,192086	-14,9991
2,864	-0,194131	-14,9408
2,868	-0,196239	-14,8813
2,872	-0,198411	-14,8206
2,876	-0,200659	-14,7587
2,88	-0,202991	-14,6955
2,884	-0,205444	-14,6308
2,888	-0,207988	-14,5646
2,892	-0,210635	-14,4966
2,896	-0,2134	-14,4266
2,9	-0,216292	-14,3544
2,904	-0,219321	-14,2798
2,908	-0,2225	-14,2027
2,912	-0,225841	-14,1229
2,916	-0,229359	-14,0403
2,92	-0,233099	-13,9548
