#GJM0335C0J270JB01,,
#In Production,,
#2026/06/21,,
#l,,
#DC0V 25degC,,
Frequency[Hz],Inductance[H],
5.707E9,2.3845073876112335E-10,
5.728E9,2.394946948112086E-10,
5.749E9,2.4052385666494993E-10,
5.77E9,2.4153929526098984E-10,
5.791E9,2.4254205664461463E-10,
5.812E9,2.435331532823371E-10,
5.833E9,2.445135588526222E-10,
5.854E9,2.4548420551595694E-10,
5.875E9,2.4644598293634667E-10,
5.896E9,2.4739973852313863E-10,
5.917E9,2.4834627850631985E-10,
5.938E9,2.492863695643028E-10,
5.959E9,2.502207408009619E-10,
5.98E9,2.5115008592584116E-10,
6.001E9,2.5207506553344465E-10,
6.022E9,2.529963094083758E-10,
6.043E9,2.5391441880570975E-10,
6.064E9,2.5482996867254103E-10,
6.085E9,2.5574350978870613E-10,
6.106E9,2.5665557081342546E-10,
6.127E9,2.575666602308953E-10,
6.148E9,2.584772681923335E-10,
6.169E9,2.593878682551146E-10,
6.19E9,2.602989190217704E-10,
6.211E9,2.612108656830539E-10,
6.232E9,2.6212414147015173E-10,
6.253E9,2.6303916902162564E-10,
6.274E9,2.6395636167089414E-10,
6.295E9,2.6487612466007873E-10,
6.316E9,2.6579885628592544E-10,
6.337E9,2.6672494898328844E-10,
6.358E9,2.6765479035138295E-10,
6.379E9,2.685887641276743E-10,
6.4E9,2.6952725111390757E-10,
6.421E9,2.704706300584029E-10,
6.442E9,2.71419278498329E-10,
6.463E9,2.7237357356526543E-10,
6.484E9,2.7333389275693026E-10,
6.505E9,2.74300614677513E-10,
6.526E9,2.75274119748593E-10,
6.547E9,2.76254790892146E-10,
6.568E9,2.772430141866222E-10,
6.589E9,2.7823917949654E-10,
6.61E9,2.792436810754307E-10,
6.631E9,2.8025691814131767E-10,
6.652E9,2.812792954231707E-10,
6.673E9,2.823112236759597E-10,
6.694E9,2.8335312016097876E-10,
6.715E9,2.844054090870535E-10,
6.736E9,2.854685220069932E-10,
6.757E9,2.865428981622328E-10,
6.778E9,2.876289847669341E-10,
6.799E9,2.8872723722088635E-10,
6.82E9,2.8983811923827233E-10,
6.841E9,2.9096210287670405E-10,
6.862E9,2.920996684478063E-10,
6.883E9,2.932513042869434E-10,
6.904E9,2.9441750635533735E-10,
6.925E9,2.9559877764270755E-10,
6.946E9,2.967956273324937E-10,
6.967E9,2.9800856968456463E-10,
6.988E9,2.992381225818257E-10,
7.009E9,3.0048480567708407E-10,
7.03E9,3.0174913806461896E-10,
7.051E9,3.0303163538676353E-10,
7.072E9,3.0433280626903714E-10,
7.093E9,3.0565314795746917E-10,
7.114E9,3.06993141008124E-10,
7.135E9,3.083532428508148E-10,
7.156E9,3.0973388001572144E-10,
7.177E9,3.111354387721965E-10,
7.198E9,3.1255825388229643E-10,
7.219E9,3.1400259511628E-10,
7.24E9,3.154686511119584E-10,
7.261E9,3.1695651008274316E-10,
7.282E9,3.1846613678866256E-10,
7.303E9,3.1999734507854255E-10,
7.324E9,3.215497651878972E-10,
7.345E9,3.231228048338586E-10,
7.366E9,3.2471560298392335E-10,
7.387E9,3.263269749882527E-10,
7.408E9,3.279553475556782E-10,
7.429E9,3.295986818232844E-10,
7.45E9,3.3125438252333497E-10,
7.471E9,3.3291919099904174E-10,
